event_id,time_ms,tick,note,note_name,velocity_on,time_off_ms,tick_off,velocity_off,duration_ms
110,23308,5263,79,G5,37,23411,5286,31,103
111,23330,5268,69,A4,44,23701,5351,17,371
112,23629,5335,57,A3,57,25210,5689,31,1580
113,23902,5396,78,F#5,53,24589,5550,41,687
114,24268,5478,69,A4,52,24902,5620,13,634
115,24562,5544,72,C5,57,24937,5628,33,375
116,24871,5613,74,D5,36,25219,5691,52,348
117,25201,5687,59,B3,50,25482,5750,52,281
118,25201,5687,78,F#5,41,25759,5812,55,558
119,25210,5689,75,D#5,52,25759,5812,57,549
120,25241,5696,69,A4,48,25621,5781,44,379
121,25549,5765,59,B3,64,26978,6085,37,1429
122,25848,5832,75,D#5,74,26031,5873,54,183
123,25857,5834,78,F#5,76,26031,5873,50,174
124,25857,5834,69,A4,61,26040,5875,36,183
125,26187,5908,78,F#5,59,26491,5976,44,304
126,26187,5908,75,D#5,62,26500,5978,44,312
127,26201,5911,69,A4,57,26571,5994,41,371
128,26500,5978,79,G5,53,26652,6012,35,152
129,26790,6043,78,F#5,55,27121,6117,36,330
130,26812,6048,69,A4,48,27000,6090,35,187
131,27152,6124,64,E4,57,27518,6206,36,366
132,27152,6124,74,D5,57,27839,6278,13,687
133,27156,6125,76,E5,60,27911,6294,28,754
134,27161,6126,71,B4,55,27790,6267,5,629
135,27469,6195,52,E3,52,33732,7598,35,6263
136,27830,6276,64,E4,50,29951,6751,35,2121
137,28147,6347,71,B4,57,28509,6428,26,362
138,28460,6417,74,D5,50,28781,6489,44,321
139,28741,6480,76,E5,56,29009,6540,36,268
140,29049,6549,79,G5,57,30960,6977,3,1911
141,29071,6554,71,B4,57,30460,6865,5,1388
142,32879,7407,76,E5,64,33330,7508,3,451
143,33330,7508,64,E4,59,33781,7609,56,451
144,33339,7510,75,D#5,64,33790,7611,28,451
145,33759,7604,76,E5,62,34080,7676,33,321
146,34062,7672,54,F#3,57,34290,7723,36,228
147,34121,7685,66,F#4,53,34451,7759,36,330
148,34210,7705,78,F#5,57,34379,7743,49,170
149,34214,7706,76,E5,61,34371,7741,44,156
150,34219,7707,72,C5,58,34379,7743,42,161
151,34652,7804,78,F#5,56,35161,7918,54,509
152,34661,7806,72,C5,57,35161,7918,36,500
153,34661,7806,76,E5,64,35147,7915,44,487
154,35080,7900,54,F#3,60,35978,8101,33,897
155,35362,7963,74,D5,58,35562,8008,29,201
156,35371,7965,76,E5,60,35870,8077,5,500
157,35371,7965,72,C5,56,35540,8003,39,170
158,35491,7992,66,F#4,64,35821,8066,33,330
159,35830,8068,72,C5,58,35982,8102,31,152
160,35929,8090,59,B3,62,36379,8191,56,451
161,36379,8191,69,A4,55,36679,8258,33,299
162,36379,8191,75,D#5,59,36670,8256,33,290
163,36379,8191,78,F#5,56,36679,8258,44,299
164,36589,8238,59,B3,44,36897,8307,49,308
165,36848,8296,75,D#5,49,37272,8391,36,424
166,36862,8299,69,A4,57,37339,8406,24,478
167,36862,8299,76,E5,60,37259,8388,29,397
168,37281,8393,59,B3,58,37768,8502,53,487
169,37290,8395,78,F#5,59,37692,8485,3,402
170,37728,8493,79,G5,55,37879,8527,35,152
171,37732,8494,71,B4,46,37888,8529,35,156
172,37737,8495,74,D5,54,37857,8522,39,121
173,37741,8496,76,E5,59,37870,8525,50,129
174,37759,8500,64,E4,56,37942,8541,35,183
175,38170,8592,79,G5,53,38679,8706,42,509
176,38170,8592,76,E5,59,38679,8706,47,509
177,38179,8594,74,D5,61,38670,8704,35,491
178,38187,8596,71,B4,57,38679,8706,33,491
179,38598,8688,52,E3,59,39170,8816,37,571
180,38920,8760,79,G5,60,39049,8789,46,129
181,38920,8760,74,D5,59,39031,8785,46,112
182,38920,8760,76,E5,57,39040,8787,57,121
183,38929,8762,71,B4,59,39049,8789,41,121
184,39049,8789,64,E4,57,39129,8807,44,80
185,39500,8890,76,E5,60,39781,8953,36,281
186,39500,8890,79,G5,55,39790,8955,39,290
187,39509,8892,74,D5,63,39781,8953,35,272
188,39509,8892,71,B4,59,39799,8957,31,290
189,39741,8944,52,E3,57,41210,9273,5,1469
190,39929,8986,76,E5,59,40210,9049,29,281
191,39929,8986,74,D5,58,40219,9051,28,290
192,39937,8988,79,G5,56,40210,9049,33,272
193,39942,8989,71,B4,55,40232,9054,29,290
194,40228,9053,64,E4,44,40522,9119,37,295
195,40370,9085,78,F#5,56,40888,9201,21,518
196,40388,9089,71,B4,59,40942,9213,5,554
197,40848,9192,64,E4,52,41312,9296,33,464
198,40862,9195,79,G5,57,41089,9246,46,228
199,41290,9291,57,A3,59,41451,9327,42,161
200,41290,9291,81,A5,60,41522,9343,39,232
201,41741,9392,74,D5,57,42129,9479,21,388
202,41741,9392,81,A5,59,42192,9493,28,451
203,41750,9394,71,B4,57,41929,9434,36,179
204,41750,9394,76,E5,63,42120,9477,17,371
205,41750,9394,72,C5,57,42120,9477,13,371
206,42152,9484,57,A3,60,42629,9591,60,478
207,42388,9537,79,G5,55,42857,9642,37,469
208,42848,9640,50,D3,60,44491,10008,33,1643
209,43040,9683,74,D5,55,43362,9755,17,321
210,43040,9683,78,F#5,54,43540,9795,57,500
211,43049,9685,72,C5,59,43442,9773,36,393
212,43491,9784,62,D4,67,44232,9950,37,741
213,43929,9882,86,D6,65,44089,9918,57,161
214,43929,9882,74,D5,68,44112,9923,53,183
215,44250,9954,84,C6,69,44420,9992,36,170
216,44250,9954,72,C5,75,44446,9998,50,196
217,44670,10048,71,B4,67,44991,10120,17,321
218,44670,10048,83,B5,67,45219,10171,33,549
219,44830,10084,55,G3,62,48321,10866,17,3491
220,45112,10147,67,G4,59,45763,10293,39,652
221,45250,10178,71,B4,62,45589,10254,37,339
222,45522,10239,74,D5,42,45612,10259,44,89
223,45692,10277,78,F#5,64,46071,10362,42,379
224,45701,10279,74,D5,63,45830,10308,15,129
225,45710,10281,71,B4,63,45911,10326,39,201
226,45960,10337,67,G4,41,46411,10438,44,451
227,46094,10367,71,B4,58,46219,10395,47,125
228,46402,10436,78,F#5,79,46879,10543,36,478
229,46411,10438,71,B4,70,46888,10545,36,478
230,46411,10438,74,D5,81,46870,10541,5,460
231,46420,10440,83,B5,68,46888,10545,48,469
232,46879,10543,67,G4,44,47540,10691,5,661
233,47049,10581,78,F#5,78,47259,10628,44,210
234,47062,10584,74,D5,79,47219,10619,5,156
235,47062,10584,71,B4,69,47362,10651,5,299
236,47071,10586,83,B5,73,47388,10657,35,317
237,47500,10682,82,A#5,60,47790,10747,48,290
238,47531,10689,71,B4,65,47799,10749,44,268
239,47812,10752,67,G4,57,48308,10863,23,496
240,47982,10790,83,B5,67,48250,10850,39,268
241,47982,10790,71,B4,63,48192,10837,31,210
242,48437,10892,84,C6,66,48719,10955,36,281
243,48759,10964,66,F#4,66,49219,11067,49,460
244,48902,10996,81,A5,59,49201,11063,42,299
245,48902,10996,84,C6,60,49219,11067,37,317
246,48902,10996,78,F#5,57,49201,11063,39,299
247,49192,11061,54,F#3,64,50312,11312,36,1121
248,49357,11098,78,F#5,60,49598,11152,44,241
249,49370,11101,81,A5,67,49598,11152,49,228
250,49799,11197,66,F#4,60,50232,11294,37,433
251,49812,11200,78,F#5,57,49991,11240,54,179
252,49812,11200,81,A5,60,49951,11231,54,138
253,50250,11298,75,D#5,62,50589,11374,36,339
254,50250,11298,78,F#5,61,50692,11397,36,442
255,50250,11298,59,B3,52,50339,11318,29,89
256,50259,11300,71,B4,59,50571,11370,47,312
257,50549,11365,59,B3,60,51098,11488,33,549
258,50710,11401,71,B4,68,50848,11432,52,138
259,51031,11473,78,F#5,88,51321,11538,36,290
260,51031,11473,71,B4,68,51299,11533,37,268
261,51031,11473,75,D#5,88,51321,11538,36,290
262,51451,11567,78,F#5,59,51741,11632,36,290
263,51451,11567,75,D#5,58,51750,11634,36,299
264,51460,11569,71,B4,61,51799,11645,23,339
265,51460,11569,83,B5,60,51951,11679,33,491
266,51670,11616,59,B3,64,51911,11670,44,241
267,52161,11726,76,E5,61,52812,11872,19,652
268,52170,11728,83,B5,59,52879,11887,33,710
269,52170,11728,79,G5,64,52879,11887,36,710
270,52170,11728,74,D5,59,52710,11849,36,540
271,52179,11730,55,G3,57,52330,11764,35,152
272,52629,11831,52,E3,66,52902,11892,57,272
273,53080,11932,57,A3,60,53969,12131,11,888
274,53089,11934,79,G5,59,53571,12042,13,482
275,53089,11934,73,C#5,70,53411,12006,36,321
276,53089,11934,81,A5,60,53549,12037,24,460
277,53089,11934,76,E5,59,53388,12001,3,299
278,53571,12042,73,C#5,72,53732,12078,61,161
279,53571,12042,69,A4,63,53830,12100,33,259
280,54031,12145,81,A5,57,54571,12266,33,540
281,54031,12145,77,F5,60,54540,12259,35,509
282,54040,12147,74,D5,63,54370,12221,46,330
283,54040,12147,62,D4,59,54219,12187,44,179
284,54379,12223,62,D4,61,54812,12320,39,433
285,54812,12320,77,F5,63,55330,12436,33,518
286,54812,12320,81,A5,60,55411,12454,19,598
287,54821,12322,74,D5,64,55281,12425,42,460
288,54821,12322,67,G4,58,55192,12405,52,371
289,55250,12418,67,G4,59,55750,12530,53,500
290,55469,12467,74,D5,68,56089,12606,3,621
291,56040,12595,54,F#3,79,57049,12821,54,1009
292,57000,12810,76,E5,61,57348,12888,31,348
293,57004,12811,81,A5,58,57308,12879,36,304
294,57009,12812,72,C5,62,57406,12901,5,397
295,57290,12875,54,F#3,56,57969,13027,47,679
296,57348,12888,79,G5,64,57799,12989,26,451
297,57692,12965,78,F#5,60,58290,13099,47,598
298,57969,13027,59,B3,66,59629,13399,52,1661
299,58299,13101,69,A4,57,58598,13168,37,299
300,58629,13175,75,D#5,58,58982,13254,50,353
301,58951,13247,71,B4,56,59719,13419,35,768
302,59281,13321,78,F#5,60,59620,13397,57,339
303,59629,13399,79,G5,61,59902,13460,49,272
304,59942,13469,52,E3,53,62732,14094,35,2790
305,59982,13478,76,E5,64,60549,13605,31,567
306,60290,13547,64,E4,52,62759,14100,21,2469
307,60549,13605,71,B4,55,60929,13690,35,379
308,60902,13684,74,D5,60,61241,13760,53,339
309,61219,13755,71,B4,49,61562,13832,36,344
310,61518,13822,74,D5,62,61647,13851,36,129
311,61799,13885,71,B4,53,62152,13964,3,353
312,61830,13892,74,D5,44,62152,13964,33,321
313,61870,13901,76,E5,35,62201,13975,49,330
314,61929,13914,79,G5,35,62259,13988,44,330
315,62482,14038,76,E5,49,62759,14100,17,277
316,62629,14071,78,F#5,44,62973,14148,36,344
317,62920,14136,79,G5,48,63129,14183,37,210
318,63308,14223,57,A3,37,64991,14600,5,1683
319,63362,14235,72,C5,50,64062,14392,29,701
320,63379,14239,69,A4,36,63500,14266,35,121
321,63379,14239,76,E5,53,64040,14387,31,661
322,63402,14244,79,G5,53,64045,14388,36,643
323,63442,14253,84,C6,26,64076,14395,41,634
324,63969,14371,69,A4,44,64920,14584,3,951
325,64272,14439,79,G5,49,64402,14468,50,129
326,64299,14445,72,C5,35,64491,14488,39,192
327,64362,14459,81,A5,44,64522,14495,49,161
328,64679,14530,79,G5,57,64870,14573,61,192
329,64687,14532,72,C5,49,64911,14582,35,223
330,65058,14615,62,D4,55,65339,14678,24,281
331,65080,14620,78,F#5,57,65661,14750,44,580
332,65089,14622,72,C5,50,65509,14716,42,420
333,65491,14712,62,D4,55,66098,14848,33,607
334,65647,14747,72,C5,59,66000,14826,15,353
335,65942,14813,74,D5,58,66370,14909,5,429
336,66339,14902,76,E5,55,66759,14996,24,420
337,66460,14929,62,D4,52,66955,15040,53,496
338,66781,15001,78,F#5,36,66960,15041,36,179
339,66942,15037,55,G3,61,68638,15417,36,1696
340,66978,15045,83,B5,63,67562,15176,26,585
341,67348,15128,62,D4,52,68580,15404,5,1232
342,67759,15220,67,G4,46,68370,15357,17,612
343,67772,15223,78,F#5,56,68071,15290,39,299
344,67772,15223,74,D5,55,68080,15292,26,308
345,67781,15225,71,B4,52,68370,15357,5,589
346,68089,15294,79,G5,59,68558,15399,28,469
347,68348,15352,78,F#5,56,68491,15384,59,143
348,68607,15410,60,C4,59,68888,15473,31,281
349,68629,15415,74,D5,52,69138,15529,36,509
350,68629,15415,76,E5,50,69161,15534,39,531
351,68638,15417,72,C5,54,69120,15525,41,482
352,69080,15516,60,C4,65,69741,15664,36,661
353,69357,15578,72,C5,64,69638,15641,39,281
354,69768,15670,76,E5,60,70120,15749,29,353
355,69772,15671,72,C5,59,70129,15751,23,357
