event_id,time_ms,tick,note,note_name,velocity_on,time_off_ms,tick_off,velocity_off,duration_ms
0,0,135,64,E4,55,196,179,36,196
1,125,163,66,F#4,61,335,210,23,210
2,879,332,64,E4,57,1237,412,36,357
3,1196,403,66,F#4,57,1326,432,54,129
4,1348,437,67,G4,68,1670,509,29,321
5,1799,538,72,C5,59,4196,1075,53,2397
6,2638,726,64,E4,53,3138,838,50,500
7,2638,726,57,A3,47,3228,858,46,589
8,2647,728,60,C4,58,3179,847,31,531
9,2647,728,67,G4,36,3210,854,49,562
10,3487,916,66,F#4,33,4089,1051,35,603
11,3509,921,60,C4,44,4116,1057,3,607
12,3509,921,57,A3,47,4170,1069,29,661
13,3540,928,62,D4,31,4138,1062,3,598
14,4429,1127,62,D4,65,4696,1187,3,268
15,4687,1185,64,E4,68,4839,1219,36,152
16,4839,1219,66,F#4,64,5000,1255,57,161
17,5308,1324,71,B4,70,7179,1743,42,1871
18,6219,1528,66,F#4,59,6616,1617,37,397
19,6223,1529,62,D4,58,6558,1604,5,335
20,6228,1530,59,B3,61,6549,1602,5,321
21,6228,1530,55,G3,47,6638,1622,36,411
22,6929,1687,55,G3,56,7357,1783,36,429
23,6937,1689,62,D4,59,7299,1770,60,362
24,6937,1689,64,E4,3,7250,1759,59,312
25,6946,1691,59,B3,65,7317,1774,58,371
26,7446,1803,60,C4,108,7728,1866,41,281
27,7844,1892,60,C4,68,7996,1926,52,152
28,8000,1927,62,D4,73,8268,1987,39,268
29,8326,2000,59,B3,63,8446,2027,58,121
30,8339,2003,55,G3,48,8460,2030,39,121
31,8446,2027,64,E4,67,8607,2063,42,161
32,8920,2133,69,A4,64,10884,2573,36,1964
33,9759,2321,57,A3,60,10089,2395,5,330
34,9759,2321,54,F#3,53,10138,2406,42,379
35,9759,2321,60,C4,59,10058,2388,3,299
36,9768,2323,64,E4,59,10138,2406,36,371
37,10478,2482,54,F#3,53,11777,2773,31,1299
38,10478,2482,63,D#4,54,11737,2764,36,1259
39,10487,2484,59,B3,63,11656,2746,5,1170
40,10487,2484,57,A3,57,11728,2762,24,1241
41,11116,2625,69,A4,66,11290,2664,42,174
42,11518,2715,69,A4,67,11687,2753,35,170
43,11719,2760,67,G4,47,11888,2798,57,170
44,11888,2798,66,F#4,59,12147,2856,42,259
45,12268,2883,67,G4,52,13210,3094,24,942
46,12549,2946,55,G3,55,12750,2991,44,201
47,12549,2946,59,B3,56,12750,2991,37,201
48,12558,2948,52,E3,49,12759,2993,47,201
49,12567,2950,62,D4,39,12750,2991,52,183
50,13170,3085,52,E3,39,13567,3174,44,397
51,13179,3087,55,G3,57,13558,3172,33,379
52,13179,3087,59,B3,44,13558,3172,36,379
53,13179,3087,62,D4,48,13567,3174,39,388
54,13187,3089,66,F#4,66,13446,3147,44,259
55,13478,3154,64,E4,68,13554,3171,49,76
56,13897,3248,64,E4,66,13996,3270,65,98
57,13960,3262,66,F#4,76,14397,3360,47,437
58,14455,3373,64,E4,70,14598,3405,53,143
59,14839,3459,64,E4,63,15009,3497,36,170
60,14978,3490,66,F#4,70,15250,3551,52,272
61,15259,3553,52,E3,36,15429,3591,36,170
62,15259,3553,59,B3,63,15420,3589,47,161
63,15259,3553,55,G3,62,15420,3589,44,161
64,15268,3555,62,D4,58,15429,3591,44,161
65,15357,3575,67,G4,57,15540,3616,64,183
66,15839,3683,60,C4,60,16437,3817,33,598
67,15839,3683,64,E4,57,16437,3817,39,598
68,15848,3685,57,A3,54,16469,3824,39,621
69,15848,3685,72,C5,68,17978,4162,3,2129
70,15857,3687,67,G4,53,16437,3817,37,580
71,16728,3882,64,E4,49,16946,3931,53,219
72,16737,3884,57,A3,50,16978,3938,35,241
73,16737,3884,60,C4,55,16955,3933,28,219
74,16763,3890,67,G4,58,16955,3933,60,192
75,17196,3987,57,A3,52,18500,4279,15,1304
76,17496,4054,60,C4,47,18469,4272,5,973
77,17500,4055,66,F#4,62,18138,4198,17,638
78,17509,4057,62,D4,58,18589,4299,3,1080
79,18170,4205,72,C5,75,18357,4247,39,187
80,18607,4303,72,C5,68,18777,4341,33,170
81,18826,4352,71,B4,47,18987,4388,42,161
82,18960,4382,70,A#4,47,19210,4438,49,250
83,19259,4449,71,B4,54,21326,4912,44,2067
84,19817,4574,66,F#4,57,20317,4686,44,500
85,19826,4576,62,D4,56,20268,4675,28,442
86,19826,4576,59,B3,59,20299,4682,9,473
87,19826,4576,55,G3,44,20339,4691,33,513
88,20478,4722,62,D4,54,20598,4749,44,121
89,20478,4722,59,B3,62,20607,4751,52,129
90,20478,4722,66,F#4,60,20616,4753,44,138
91,20487,4724,55,G3,49,20670,4765,37,183
92,20929,4823,62,D4,58,22116,5089,35,1187
93,20929,4823,55,G3,53,22138,5094,53,1210
94,20929,4823,64,E4,23,22138,5094,47,1210
95,20937,4825,59,B3,63,22098,5085,41,1161
96,21549,4962,71,B4,66,21647,4984,49,98
97,21835,5026,71,B4,19,21937,5049,28,103
98,21973,5057,74,D5,60,22290,5128,37,317
99,22246,5118,55,G3,48,22625,5203,28,379
100,22250,5119,62,D4,56,22638,5206,39,388
101,22250,5119,59,B3,60,22638,5206,36,388
102,22268,5123,64,E4,49,22656,5210,36,388
103,22357,5143,71,B4,64,22670,5213,36,312
104,22647,5208,69,A4,69,23469,5392,62,821
105,23237,5340,54,F#3,59,23777,5461,36,540
106,23246,5342,60,C4,63,23759,5457,39,513
107,23259,5345,57,A3,64,23737,5452,31,478
108,23259,5345,64,E4,59,23777,5461,41,518
109,23719,5448,66,F#4,63,24228,5562,23,509
110,23987,5508,54,F#3,56,24357,5591,37,371
111,24000,5511,60,C4,63,24290,5576,31,290
112,24000,5511,57,A3,61,24290,5576,15,290
113,24009,5513,64,E4,67,24326,5584,35,317
