window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,48.959,33.836,204.083,192.37,7.238,32,68.288,11.917,3,3.0,0.2,2.247,84.5,4.5,0,,
1,15000,49.193,34.705,168.977,186.057,7.126,32,65.989,11.977,4,3.25,0.267,2.352,108.0,2.556,1,104.0,2.0
2,30000,49.757,31.614,210.754,239.114,8.943,31,65.214,11.855,5,3.4,0.333,2.214,91.917,4.083,0,,
3,45000,47.378,32.085,184.667,382.524,14.102,34,66.829,11.877,4,3.5,0.267,2.707,105.5,3.4,3,67.333,1.0
4,60000,44.577,29.692,290.569,680.558,31.154,34,64.192,12.0,5,3.6,0.333,2.577,75.769,2.846,0,,
5,75000,49.756,31.679,185.247,216.449,8.404,32,65.885,11.753,4,3.25,0.267,2.256,93.444,4.111,0,,
6,90000,47.716,28.852,170.816,218.545,9.017,32,65.307,10.793,3,3.0,0.2,2.477,83.333,0.167,0,,
7,105000,50.339,32.145,234.967,301.581,9.012,29,65.968,9.295,3,3.0,0.2,2.194,44.0,3.167,1,97.0,1.0
8,120000,47.912,31.485,208.328,533.118,17.063,34,66.838,11.657,6,3.167,0.4,3.015,70.0,2.692,1,76.0,1.0
9,135000,42.983,25.068,255.983,660.542,27.521,34,62.847,8.414,8,3.125,0.533,2.949,68.647,2.235,0,,
10,150000,44.347,26.12,196.419,424.333,12.027,32,65.067,9.149,5,3.4,0.333,2.747,111.0,4.917,1,69.0,2.0
11,165000,44.346,29.397,182.273,598.59,27.641,34,64.782,9.182,7,3.429,0.467,3.026,100.529,2.706,1,111.0,2.0
