window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,47.0,32.101,218.294,707.145,15.292,34,73.565,7.279,11,3.636,0.733,3.739,136.655,2.069,1,129.0,2.0
1,15000,51.685,33.493,193.639,654.644,17.082,34,72.795,8.361,7,4.0,0.467,3.521,200.476,2.857,0,,
2,30000,58.5,35.333,155.208,406.897,15.048,36,71.423,9.961,6,3.167,0.4,3.256,113.538,1.846,1,121.0,2.0
3,45000,62.616,35.93,174.941,437.186,15.809,32,72.512,9.282,5,3.2,0.333,3.116,89.636,2.182,0,,
4,60000,52.797,32.949,185.103,485.228,13.906,32,71.823,8.526,8,3.75,0.533,3.19,179.409,3.909,0,,
5,75000,57.819,34.867,179.0,395.301,13.054,34,70.94,9.085,6,3.667,0.4,2.94,125.562,3.0,2,134.0,1.5
6,90000,56.0,34.966,143.782,459.716,16.965,38,70.83,9.011,8,3.25,0.533,3.443,137.833,3.556,1,121.0,1.0
7,105000,57.71,37.366,155.87,349.258,10.424,32,72.204,8.087,10,3.4,0.667,3.022,147.75,2.25,1,134.0,1.0
8,120000,58.961,35.686,143.96,337.922,16.665,36,76.039,8.446,7,3.143,0.467,3.02,169.267,2.733,0,,
9,135000,60.5,34.822,166.933,368.5,11.895,32,72.211,9.258,3,4.0,0.2,3.111,195.333,2.556,2,85.0,1.0
10,150000,55.792,34.494,189.842,456.104,14.505,32,72.571,9.553,8,3.375,0.533,3.0,137.947,3.526,0,,
11,165000,56.1,34.317,210.136,454.2,15.513,34,72.55,8.78,5,3.8,0.333,3.2,109.643,2.786,1,147.0,2.0
12,180000,59.303,39.526,165.467,349.303,7.611,29,70.987,8.827,6,3.333,0.4,3.0,82.786,2.714,2,120.5,2.0
13,195000,59.936,35.34,156.151,367.872,10.129,36,72.404,9.677,4,3.5,0.267,3.426,242.4,4.9,1,147.0,2.0
14,210000,47.961,32.118,197.68,621.5,16.738,36,74.539,8.347,9,4.111,0.6,3.5,125.571,2.536,1,98.0,2.0
15,225000,51.464,36.783,216.456,596.71,10.997,40,74.783,9.618,7,3.857,0.467,3.565,91.1,2.15,1,121.0,2.0
16,240000,50.481,33.296,182.875,592.012,18.698,38,71.444,9.075,7,3.857,0.467,3.605,98.0,2.8,1,98.0,2.0
17,255000,53.602,35.843,178.524,540.446,11.479,36,73.976,8.915,7,4.0,0.467,3.566,109.095,3.476,1,98.0,1.0
18,270000,56.391,38.507,197.279,587.797,16.255,43,73.855,7.221,4,4.0,0.267,3.536,161.833,3.167,2,85.0,1.0
19,285000,55.034,31.067,149.455,277.899,13.396,27,68.562,7.92,8,3.375,0.533,2.674,48.842,0.789,1,129.0,1.0
20,300000,59.188,35.038,178.633,362.638,13.237,27,68.188,8.253,5,3.2,0.333,2.712,97.455,3.091,1,71.0,1.0
21,315000,58.366,33.304,131.559,301.714,13.531,29,70.518,8.694,14,3.143,0.933,3.045,95.7,3.933,2,136.0,2.0
22,330000,56.813,35.52,201.378,390.733,13.505,30,69.72,9.257,6,3.167,0.4,3.093,97.846,1.538,0,,
23,345000,56.24,37.107,197.568,602.053,9.256,34,72.16,5.635,12,4.0,0.8,3.693,160.806,4.167,0,,
24,360000,59.93,34.221,173.047,633.244,25.345,34,73.221,7.318,10,4.6,0.667,4.256,160.25,3.861,0,,
25,375000,57.439,30.667,227.815,610.424,13.791,31,70.5,7.585,4,4.0,0.267,3.258,143.333,4.0,0,,
26,390000,57.033,36.11,160.567,480.846,16.442,38,72.187,11.244,6,3.333,0.4,3.56,163.429,4.0,1,147.0,1.0
27,405000,57.425,33.753,205.417,367.781,10.113,27,67.589,7.667,1,3.0,0.067,2.589,96.0,1.0,2,122.5,1.0
28,420000,60.167,34.533,162.472,409.678,10.863,36,71.656,10.472,3,3.0,0.2,3.167,87.833,2.667,0,,
29,435000,60.907,35.427,199.568,535.92,15.428,27,70.293,8.014,8,3.5,0.533,3.173,229.2,4.6,1,71.0,1.0
30,450000,60.977,33.733,170.329,488.5,19.348,36,72.919,9.835,5,4.4,0.333,3.57,207.059,3.706,0,,
31,465000,58.395,32.697,197.2,491.171,16.723,33,73.987,9.493,8,3.875,0.533,3.171,164.391,3.696,0,,
32,480000,56.603,34.529,218.343,559.721,10.018,38,72.338,6.836,7,4.429,0.467,3.368,141.958,4.625,0,,
33,495000,56.429,34.545,193.908,758.338,15.32,34,72.87,7.605,12,3.583,0.8,3.701,205.968,5.387,1,112.0,2.0
34,510000,63.375,45.75,231.571,207.5,0.425,14,79.625,4.286,0,,0.0,1.25,,,0,,
