window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,59.306,64.0,304.104,744.714,19.96,29,60.898,6.5,2,3.5,0.133,3.143,336.0,3.2,0,,
1,15000,67.071,64.0,354.0,821.595,4.478,32,61.881,7.244,4,3.5,0.267,3.381,397.7,3.2,0,,
2,30000,69.514,64.0,430.559,1133.571,28.462,30,62.571,6.529,3,3.667,0.2,3.543,472.375,2.75,0,,
3,45000,68.744,64.0,338.786,801.86,12.697,25,61.767,7.286,5,3.2,0.333,3.186,409.091,2.727,0,,
4,60000,69.694,64.0,392.457,1051.667,17.269,30,62.222,6.743,2,3.0,0.133,3.333,244.75,3.25,0,,
5,75000,66.891,64.0,326.222,1077.413,11.408,32,60.5,7.467,4,3.75,0.267,4.0,395.818,3.182,0,,
6,90000,68.789,64.0,381.216,989.605,6.34,30,61.342,6.865,1,3.0,0.067,3.395,468.5,2.0,0,,
7,105000,69.778,64.0,366.657,1137.556,1.02,29,60.778,7.571,2,3.0,0.133,3.528,472.0,3.0,0,,
8,120000,66.205,64.0,363.684,885.487,4.742,30,61.231,7.684,3,3.333,0.2,3.308,358.143,3.571,0,,
9,135000,73.966,64.0,528.5,1044.103,2.893,22,63.069,7.393,2,4.0,0.133,2.828,463.0,2.833,0,,
10,150000,68.707,64.0,364.925,947.341,6.81,29,61.634,7.225,2,3.0,0.133,3.537,441.25,2.0,0,,
11,165000,74.351,64.0,412.417,991.432,3.557,30,61.216,7.361,2,3.0,0.133,3.514,472.5,1.75,0,,
12,180000,71.784,64.0,404.111,1049.73,4.686,30,61.514,6.861,3,3.333,0.2,3.297,467.286,2.714,0,,
13,195000,59.125,64.0,377.487,861.575,6.203,32,61.35,7.692,4,3.25,0.267,3.675,367.333,2.889,0,,
14,210000,71.122,64.0,346.375,1013.878,29.383,30,61.146,6.725,3,4.0,0.2,3.659,460.0,2.889,0,,
15,225000,71.262,64.0,361.976,951.357,5.17,32,62.024,6.512,4,4.0,0.267,3.619,382.583,3.333,0,,
16,240000,69.26,64.0,282.041,548.6,8.649,24,61.84,6.531,2,3.5,0.133,3.18,209.8,3.0,5,102.8,1.8
17,255000,67.719,64.0,245.304,338.386,5.277,30,61.912,7.714,2,3.0,0.133,2.86,362.75,4.5,1,118.0,2.0
18,270000,76.721,64.0,170.753,300.291,3.703,42,58.558,8.529,4,3.0,0.267,2.733,194.375,2.875,0,,
19,285000,78.577,64.0,144.883,322.24,2.248,42,60.615,12.155,2,3.5,0.133,3.0,172.0,2.2,1,42.0,0.0
20,300000,75.564,64.0,192.727,367.359,3.45,36,61.295,8.935,4,3.25,0.267,2.718,169.0,3.889,6,88.0,1.5
21,315000,80.333,64.0,164.977,514.977,6.275,44,61.529,9.988,1,3.0,0.067,3.138,347.0,6.0,2,45.5,0.5
22,330000,74.48,64.0,201.108,499.707,6.092,42,61.68,8.0,5,3.2,0.333,3.187,186.818,1.818,0,,
23,345000,72.262,64.0,229.633,476.557,5.587,42,60.77,8.967,1,3.0,0.067,2.803,267.0,2.0,5,127.8,1.8
24,360000,67.833,64.0,328.073,555.548,5.078,30,61.643,6.756,2,3.0,0.133,3.0,265.75,2.5,1,35.0,0.0
25,375000,69.175,64.0,302.872,507.675,7.975,30,61.95,5.897,0,,0.0,2.7,,,1,125.0,2.0
26,390000,76.083,64.0,208.437,453.444,10.409,30,62.069,7.493,5,3.0,0.333,3.181,271.7,5.2,3,108.667,2.0
27,405000,72.254,64.0,218.636,341.418,4.946,30,61.507,6.773,2,3.0,0.133,2.776,204.75,3.25,2,135.5,2.0
28,420000,75.242,64.0,238.607,516.952,5.202,32,62.597,7.525,0,,0.0,3.258,,,2,104.0,1.5
29,435000,77.705,64.0,324.14,632.409,7.236,30,62.045,6.791,0,,0.0,2.841,,,0,,
30,450000,61.667,64.0,1241.182,331.0,5.244,8,65.833,2.727,0,,0.0,1.333,,,1,125.0,2.0
31,465000,64.553,64.0,317.348,300.213,4.405,25,63.149,6.261,0,,0.0,2.553,,,4,114.5,2.0
32,480000,67.453,64.0,268.827,537.849,4.202,30,61.434,7.481,1,3.0,0.067,3.34,246.5,2.0,0,,
33,495000,71.817,64.0,251.542,476.983,5.503,30,62.317,6.864,2,3.5,0.133,3.1,66.4,2.2,3,125.0,2.0
34,510000,74.231,64.0,282.137,646.538,7.899,30,62.615,7.275,2,3.5,0.133,3.423,90.2,2.6,3,104.0,1.667
35,525000,71.592,64.0,297.292,583.041,6.136,30,61.531,7.458,1,3.0,0.067,2.98,104.0,4.5,1,125.0,2.0
36,540000,71.842,64.0,339.5,1147.158,11.534,27,60.105,9.333,1,3.0,0.067,3.105,267.0,2.0,0,,
