window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,46.058,35.788,286.588,823.135,22.772,30,66.212,10.039,3,3.333,0.2,3.346,143.143,1.714,0,,
1,15000,46.609,34.5,235.111,510.031,19.511,32,66.766,11.587,2,3.0,0.133,3.25,205.25,4.25,0,,
2,30000,48.0,32.396,303.447,904.417,21.598,29,65.021,10.809,2,3.5,0.133,3.375,114.4,4.4,0,,
3,45000,51.9,32.767,248.119,726.033,29.203,32,68.2,9.508,4,3.25,0.267,3.25,51.778,1.222,0,,
4,60000,48.56,36.573,188.257,592.32,27.175,29,72.56,8.973,3,4.0,0.2,3.053,82.0,3.778,1,90.0,1.0
5,75000,49.029,36.314,197.536,371.457,14.94,32,66.043,11.116,4,3.5,0.267,2.843,63.2,3.0,0,,
6,90000,50.013,33.526,194.467,206.855,7.428,32,67.382,11.88,5,3.2,0.333,2.316,123.818,3.727,0,,
7,105000,50.897,36.368,219.06,413.25,13.026,31,67.485,10.597,4,3.25,0.267,2.676,72.778,3.222,0,,
8,120000,53.915,36.617,297.435,1190.574,38.711,29,66.362,9.522,4,3.75,0.267,3.553,72.455,3.909,1,90.0,1.0
9,135000,51.87,34.5,253.189,1052.167,45.923,36,66.241,10.83,8,3.625,0.533,3.5,48.714,2.333,1,98.0,1.0
10,150000,47.426,35.404,302.674,1208.66,26.109,34,66.702,9.022,6,3.667,0.4,3.809,112.812,4.125,0,,
11,165000,51.269,34.612,218.03,976.448,31.725,47,76.537,10.409,6,3.667,0.4,3.91,44.125,3.312,1,105.0,2.0
12,180000,47.277,36.553,304.652,1198.723,40.405,34,72.043,8.174,4,4.0,0.267,3.638,60.833,3.5,2,64.0,1.0
13,195000,52.719,40.344,232.825,625.219,23.252,24,70.359,6.302,9,3.778,0.6,3.203,36.08,3.56,0,,
14,210000,55.012,42.049,182.888,279.951,9.122,31,71.543,8.35,6,3.167,0.4,2.556,148.231,2.923,1,68.0,1.0
15,225000,48.493,35.358,217.242,663.015,26.257,34,64.94,12.258,3,3.333,0.2,3.239,39.714,4.0,1,53.0,1.0
16,240000,40.16,25.16,300.755,1037.98,20.187,29,68.4,6.959,5,4.6,0.333,3.18,105.389,3.611,0,,
17,255000,50.84,35.42,293.98,952.36,29.866,32,65.36,10.653,6,3.667,0.4,3.4,74.312,3.375,0,,
18,270000,40.524,36.333,236.226,718.556,29.938,31,67.667,10.403,6,3.667,0.4,3.317,72.5,2.938,0,,
19,285000,47.581,34.726,240.59,742.645,22.757,29,70.581,6.426,10,3.5,0.667,2.968,87.92,3.52,0,,
20,300000,48.242,36.652,223.708,976.136,42.216,34,71.379,9.862,9,3.889,0.6,3.803,38.538,3.346,0,,
21,315000,41.13,34.783,279.956,1015.087,20.16,29,69.957,7.578,7,3.429,0.467,3.391,127.471,3.471,0,,
22,330000,35.5,27.852,257.019,1067.389,25.86,30,68.63,9.019,8,4.0,0.533,3.574,133.958,3.417,0,,
23,345000,47.0,37.543,216.087,740.7,24.472,36,72.129,7.58,9,3.667,0.6,3.8,115.708,3.542,6,88.833,1.167
24,360000,43.851,37.791,219.515,872.567,26.154,29,69.433,5.818,5,4.8,0.333,3.761,76.421,4.053,4,75.25,0.75
25,375000,48.423,38.775,213.743,651.31,17.276,27,73.085,6.543,9,3.556,0.6,3.169,132.0,3.522,3,103.0,1.333
26,390000,51.119,37.424,235.638,897.831,21.279,25,72.881,6.879,9,3.889,0.6,3.729,68.885,3.808,1,60.0,1.0
27,405000,48.529,35.882,278.02,1221.941,38.469,33,70.902,6.6,7,4.143,0.467,3.667,53.409,3.455,4,64.0,0.75
28,420000,45.773,39.591,328.86,1294.477,19.928,30,72.182,6.093,6,3.667,0.4,3.841,165.625,3.125,7,98.857,1.0
29,435000,42.045,32.567,224.424,793.507,25.933,34,69.672,7.727,10,4.2,0.667,3.612,87.75,3.719,0,,
30,450000,46.904,33.932,201.639,459.384,16.792,27,71.63,7.583,9,3.778,0.6,2.89,59.04,3.68,0,,
31,465000,48.034,37.782,167.767,457.345,17.661,29,72.517,9.256,7,3.571,0.467,2.851,90.722,3.056,4,73.5,1.25
32,480000,46.151,30.075,277.308,917.642,29.132,30,69.547,8.115,7,3.571,0.467,3.453,78.556,4.167,0,,
33,495000,44.793,37.948,258.0,1107.552,31.599,25,67.828,6.719,10,3.6,0.667,3.966,83.077,3.692,4,101.25,1.0
34,510000,56.889,40.639,183.056,303.292,13.332,29,69.569,9.028,6,3.667,0.4,2.889,115.25,3.25,2,117.0,1.5
35,525000,49.817,37.939,170.963,159.378,6.817,30,67.634,10.852,8,3.0,0.533,2.524,65.875,0.625,0,,
36,540000,49.234,36.351,192.711,369.26,12.76,29,68.416,9.658,9,3.667,0.6,2.909,112.083,3.792,0,,
37,555000,46.818,32.42,166.966,315.205,11.348,34,65.352,10.023,10,3.7,0.667,2.58,141.148,3.852,3,87.667,1.667
38,570000,45.605,36.977,170.094,361.453,11.002,30,71.535,9.459,13,3.615,0.867,2.895,96.147,5.176,2,75.5,1.5
39,585000,47.933,36.556,313.023,1773.311,83.474,32,66.2,7.455,4,4.5,0.267,3.622,65.643,3.214,0,,
40,600000,45.5,39.25,512.0,1340.25,3.469,12,82.75,4.0,0,,0.0,1.5,,,0,,
