window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,46.077,35.577,599,1115.885,17.633,29,70.577,14.48,0,,0,1.962,,,0,,
1,15000,45.206,28.941,429.606,810.588,23.599,32,67.912,14.303,0,,0,2.235,,,0,,
2,30000,43.703,32.622,394.944,724.73,7.128,34,71.973,14.722,1,3,0.067,2.189,222,3,0,,
3,45000,36.341,24.805,372.75,808.341,9.454,22,71.244,9.725,1,3,0.067,2.488,464.5,10,0,,
4,60000,37.438,26.354,305.851,638.208,14.459,25,70.354,8.17,2,3.5,0.133,2.438,321,4.2,0,,
5,75000,39.654,30.885,284.275,582.654,4.302,29,72.192,8.941,2,3,0.133,2.615,372,8.5,1,66,1
6,90000,39.766,28.894,322.348,671.511,11.463,30,71.277,10.174,0,,0,2.574,,,1,82,1
7,105000,37.083,28.667,284.957,717.5,9.395,36,66.583,12.957,0,,0,2.458,,,0,,
