window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,41.207,26.069,459.643,1800.793,23.472,29,69.069,11.464,4,3.5,0.267,3.483,72.4,4.7,0,,
1,15000,40.912,23.735,444.818,1662.353,44.836,30,69.412,8.455,4,3.75,0.267,3.206,56.182,3.909,0,,
2,30000,41.194,24.806,392.629,1631.028,33.286,40,69.444,8.8,3,4.667,0.2,4.0,60.545,3.364,0,,
3,45000,43.757,30.216,391.306,1565.27,41.258,27,69.757,7.389,5,4.0,0.333,3.757,103.0,5.2,0,,
4,60000,48.265,34.735,433.364,1511.706,38.672,22,70.382,6.333,5,4.2,0.333,3.118,62.75,4.5,0,,
5,75000,41.812,26.594,418.871,1721.344,32.605,29,71.719,7.452,5,4.0,0.333,3.375,48.8,3.933,0,,
6,90000,45.372,33.814,337.571,1469.721,42.584,29,71.326,7.69,7,4.143,0.467,3.628,59.864,3.227,0,,
7,105000,48.737,32.842,632.778,2921.105,77.722,29,66.579,9.722,2,4.5,0.133,3.263,44.857,4.143,0,,
8,120000,48.286,33.214,488.852,1775.714,44.497,32,69.964,11.444,3,3.667,0.2,3.214,146.875,2.125,0,,
9,135000,42.0,33.444,520.615,2324.852,46.538,31,67.519,8.846,4,4.0,0.267,3.741,130.917,3.5,0,,
10,150000,44.0,35.286,531.481,1869.964,32.049,29,70.071,8.148,4,4.0,0.267,3.5,60.333,3.5,0,,
11,165000,38.806,31.306,408.143,2052.694,56.862,29,68.472,6.914,5,4.0,0.333,3.917,63.6,4.0,0,,
12,180000,43.528,30.778,341.886,1184.639,26.818,22,70.611,6.457,3,4.333,0.2,3.472,60.8,3.7,0,,
13,195000,47.514,33.629,432.0,1721.086,42.959,27,73.714,6.647,4,4.5,0.267,3.714,54.714,4.286,0,,
14,210000,41.9,22.133,485.793,1919.167,32.246,21,72.867,6.034,6,4.5,0.4,3.467,59.524,4.286,0,,
15,225000,41.091,15.182,486.0,3160.182,190.39,20,69.636,5.7,2,4.0,0.133,3.182,49.333,4.5,0,,
