window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,54.649,37.825,265.661,699.211,25.699,29,68.053,9.196,6,3.167,0.4,2.86,56.231,3.077,1,148.0,1.0
1,15000,47.934,34.145,192.76,247.737,13.707,29,69.329,8.973,8,3.0,0.533,2.447,62.75,3.188,1,66.0,1.0
2,30000,51.879,39.515,225.708,149.864,5.485,30,70.348,9.446,4,3.25,0.267,1.955,72.222,1.333,0,,
3,45000,47.246,33.491,262.125,457.632,15.787,22,71.807,7.464,3,3.0,0.2,2.368,91.833,4.667,0,,
4,60000,48.846,32.308,226.156,281.477,7.307,29,74.138,8.547,4,3.5,0.267,1.862,132.5,3.7,0,,
5,75000,47.057,36.057,276.904,660.642,21.205,25,72.849,8.096,5,3.0,0.333,2.623,23.6,2.2,1,66.0,2.0
6,90000,49.926,36.588,215.657,161.029,5.006,29,69.956,11.776,3,3.0,0.2,1.985,49.5,1.667,0,,
7,105000,48.487,38.128,192.455,153.192,6.24,27,69.628,9.468,5,3.4,0.333,2.038,45.333,1.75,0,,
8,120000,47.848,38.0,219.523,175.152,5.944,29,69.591,11.292,2,3.0,0.133,1.97,74.0,4.5,1,123.0,2.0
9,135000,48.961,35.935,192.276,156.74,4.969,29,69.506,9.724,3,3.0,0.2,2.247,126.0,2.333,0,,
10,150000,49.586,35.414,253.632,372.431,6.705,22,71.948,7.93,7,3.143,0.467,2.207,93.133,3.667,2,90.5,2.0
11,165000,48.519,35.714,191.092,185.468,4.598,24,70.571,8.895,6,3.0,0.4,2.39,161.0,5.917,0,,
12,180000,52.077,33.91,189.247,225.949,6.878,24,75.0,8.974,6,3.0,0.4,2.154,48.5,2.25,1,115.0,1.0
13,195000,50.48,34.06,290.673,900.9,32.7,25,72.16,8.694,9,3.222,0.6,2.74,49.6,4.45,0,,
14,210000,40.857,34.536,305.519,1363.964,48.599,29,71.75,8.333,1,5.0,0.067,3.071,53.5,6.0,0,,
