userID,window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,0,57.164,37.344,249.633,468.295,15.257,20,62.0,4.1,4,3.0,0.267,2.984,44.0,2.0,1,98.0,2.0
0,1,15000,58.329,34.5,181.938,570.524,28.903,22,62.037,5.975,10,3.4,0.667,3.683,66.542,3.125,1,121.0,2.0
0,2,30000,57.968,37.387,223.721,593.629,21.932,20,62.403,5.016,4,3.25,0.267,3.242,27.111,3.0,3,132.333,1.333
0,3,45000,60.0,39.443,190.256,501.089,21.05,33,60.899,5.923,8,3.375,0.533,3.266,31.053,2.684,1,112.0,1.0
0,4,60000,64.534,35.753,200.514,543.644,17.184,24,62.014,5.431,8,3.625,0.533,3.26,128.762,3.0,1,89.0,2.0
0,5,75000,64.474,40.695,157.862,417.663,18.378,34,65.663,5.532,10,3.5,0.667,3.453,48.08,3.0,8,79.125,1.375
0,6,90000,71.864,43.424,220.262,537.621,38.637,22,62.212,5.092,3,3.333,0.2,3.152,30.0,2.143,3,102.333,1.333
0,7,105000,66.386,39.33,170.92,534.727,20.695,24,61.875,5.701,8,3.5,0.533,3.534,52.05,2.95,2,38.0,0.5
0,8,120000,70.517,44.379,171.151,453.655,21.638,45,69.23,7.221,6,3.167,0.4,3.667,49.0,1.846,9,66.444,1.0
0,9,135000,68.07,42.163,172.694,504.291,34.892,31,65.291,6.929,4,3.25,0.267,3.256,30.667,2.556,3,115.0,1.667
0,10,150000,57.159,41.189,112.832,228.735,15.294,36,62.848,7.244,18,3.167,1.2,3.068,17.513,1.615,3,108.667,2.0
0,11,165000,61.511,35.032,150.731,597.67,38.344,36,64.606,8.656,9,3.333,0.6,4.138,27.19,2.143,1,36.0,0.0
0,12,180000,55.226,35.528,287.846,728.774,30.953,24,63.113,5.885,6,3.833,0.4,2.736,47.824,2.588,1,121.0,2.0
0,13,195000,64.77,37.162,203.096,727.905,30.523,39,70.027,6.192,4,3.5,0.267,3.73,113.0,4.2,4,120.5,1.5
0,14,210000,64.649,36.662,195.877,694.716,30.557,29,66.041,7.11,5,3.2,0.333,3.851,11.364,3.636,1,147.0,1.0
0,15,225000,64.833,38.393,175.88,581.786,30.897,41,69.06,7.157,8,3.125,0.533,3.786,22.824,1.176,3,122.0,1.333
0,16,240000,56.884,43.529,121.017,329.901,11.81,41,67.86,10.192,13,3.692,0.867,3.347,41.829,3.714,2,75.5,2.0
0,17,255000,63.7,40.677,114.202,388.6,20.812,41,68.285,9.217,10,3.3,0.667,4.131,39.435,2.391,2,96.0,1.5
0,18,270000,62.523,35.495,134.226,425.589,21.97,36,64.682,8.17,8,3.375,0.533,3.953,54.053,3.474,5,112.4,1.6
0,19,285000,59.597,35.731,219.152,515.343,20.078,20,63.0,4.621,6,3.5,0.4,3.433,10.133,1.0,1,62.0,2.0
0,20,300000,62.843,36.971,211.449,608.8,18.543,41,63.129,7.275,5,3.6,0.333,3.386,40.615,1.385,1,134.0,2.0
0,21,315000,49.683,39.1,252.492,581.883,13.965,38,63.783,5.847,7,3.571,0.467,2.867,91.944,3.0,1,143.0,2.0
0,22,330000,67.443,43.57,189.962,445.342,13.044,42,68.911,7.923,8,4.125,0.533,2.962,181.2,4.64,2,133.5,1.0
0,23,345000,71.043,40.183,160.326,539.925,20.181,34,67.441,7.609,5,3.2,0.333,3.774,120.545,3.273,4,80.0,0.75
0,24,360000,65.417,39.505,139.529,461.553,27.233,36,67.388,8.941,10,3.5,0.667,4.117,13.8,3.56,4,78.0,1.5
0,25,375000,64.473,42.152,130.55,246.795,8.58,43,69.188,8.559,10,3.8,0.667,2.839,107.25,4.071,5,105.2,1.4
0,26,390000,67.356,42.167,113.374,292.439,19.615,40,67.568,9.809,13,3.462,0.867,3.402,50.938,1.125,3,116.0,1.0
0,27,405000,67.062,42.068,98.097,243.76,14.913,31,66.068,9.876,13,3.077,0.867,3.459,57.0,0.185,1,71.0,2.0
0,28,420000,68.281,38.921,131.478,368.5,28.544,34,65.579,9.301,12,3.25,0.8,3.912,14.481,1.963,1,143.0,2.0
0,29,435000,62.107,38.456,145.784,488.34,19.769,41,67.68,9.157,9,4.444,0.6,3.67,59.032,4.258,4,96.0,1.5
0,30,450000,61.446,39.473,193.438,662.608,14.039,43,71.311,7.89,8,4.25,0.533,3.446,123.615,4.269,4,99.25,1.25
0,31,465000,52.712,39.39,256.845,761.966,33.997,24,64.068,5.483,7,3.857,0.467,3.119,111.4,3.05,1,112.0,2.0
0,32,480000,56.482,46.819,95.329,240.422,5.17,39,70.554,19.976,4,4.25,0.267,3.446,82.077,4.846,0,0.0,0.0
1,0,0,47.0,32.101,218.294,707.145,15.292,34,73.565,7.279,11,3.636,0.733,3.739,136.655,2.069,1,129.0,2.0
1,1,15000,51.685,33.493,193.639,654.644,17.082,34,72.795,8.361,7,4.0,0.467,3.521,200.476,2.857,0,0.0,0.0
1,2,30000,58.5,35.333,155.208,406.897,15.048,36,71.423,9.961,6,3.167,0.4,3.256,113.538,1.846,1,121.0,2.0
1,3,45000,62.616,35.93,174.941,437.186,15.809,32,72.512,9.282,5,3.2,0.333,3.116,89.636,2.182,0,0.0,0.0
1,4,60000,52.797,32.949,185.103,485.228,13.906,32,71.823,8.526,8,3.75,0.533,3.19,179.409,3.909,0,0.0,0.0
1,5,75000,57.819,34.867,179.0,395.301,13.054,34,70.94,9.085,6,3.667,0.4,2.94,125.562,3.0,2,134.0,1.5
1,6,90000,56.0,34.966,143.782,459.716,16.965,38,70.83,9.011,8,3.25,0.533,3.443,137.833,3.556,1,121.0,1.0
1,7,105000,57.71,37.366,155.87,349.258,10.424,32,72.204,8.087,10,3.4,0.667,3.022,147.75,2.25,1,134.0,1.0
1,8,120000,58.961,35.686,143.96,337.922,16.665,36,76.039,8.446,7,3.143,0.467,3.02,169.267,2.733,0,0.0,0.0
1,9,135000,60.5,34.822,166.933,368.5,11.895,32,72.211,9.258,3,4.0,0.2,3.111,195.333,2.556,2,85.0,1.0
1,10,150000,55.792,34.494,189.842,456.104,14.505,32,72.571,9.553,8,3.375,0.533,3.0,137.947,3.526,0,0.0,0.0
1,11,165000,56.1,34.317,210.136,454.2,15.513,34,72.55,8.78,5,3.8,0.333,3.2,109.643,2.786,1,147.0,2.0
1,12,180000,59.303,39.526,165.467,349.303,7.611,29,70.987,8.827,6,3.333,0.4,3.0,82.786,2.714,2,120.5,2.0
1,13,195000,59.936,35.34,156.151,367.872,10.129,36,72.404,9.677,4,3.5,0.267,3.426,242.4,4.9,1,147.0,2.0
1,14,210000,47.961,32.118,197.68,621.5,16.738,36,74.539,8.347,9,4.111,0.6,3.5,125.571,2.536,1,98.0,2.0
1,15,225000,51.464,36.783,216.456,596.71,10.997,40,74.783,9.618,7,3.857,0.467,3.565,91.1,2.15,1,121.0,2.0
1,16,240000,50.481,33.296,182.875,592.012,18.698,38,71.444,9.075,7,3.857,0.467,3.605,98.0,2.8,1,98.0,2.0
1,17,255000,53.602,35.843,178.524,540.446,11.479,36,73.976,8.915,7,4.0,0.467,3.566,109.095,3.476,1,98.0,1.0
