window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,73.18547182168312,23.741839195189502,315.1503883219378,391.95268795562424,10.404407758029441,12.511576110253454,37.919512133352114,4.914393691141764,5.360987343139718,3.798085947681416,0.3724306017138175,3.962124870624044,54.4448655112071,2.0,1.0,70.6901607740346,2.0
1,15000,49.51920965934624,20.739122549583,233.847598991958,729.6387614857156,36.10535036665258,30.005738132992867,41.07988809537343,8.324435798831654,11.570313375607448,2.8589039857177307,0.4491283324032447,2.4693688804884033,40.560576526764706,3.7591113718911338,1.0,76.59350747460155,2.0
2,30000,47.24526126519395,50.719753713552784,262.0784731267657,744.899549573892,18.136147352235245,14.982254638704324,77.17537527266636,3.7612227894408807,4.650132317844052,2.4610705855005786,0.3417995630566178,4.128965111694686,31.886143112326398,2.518193992414269,2.403327759668658,172.36547395398475,1.5354142491455822
3,45000,36.67406590880417,52.08286729882475,232.28535084559144,690.9780302483841,26.150515615113584,20.83980352881706,73.73210236231996,3.709986433091689,10.790348241145253,4.004701479527646,0.39436379542539196,2.4788197664135887,21.958208180263654,3.3139663783714948,1.0,132.0741943261627,1.0
4,60000,47.31383425957899,28.228750675838075,149.8697842716036,742.2258109855096,10.332524585461382,14.705104421581154,71.68198347160826,3.3848308548874373,9.894008041988794,2.5868286259782844,0.32238664151531715,2.6482169951703884,156.73590953602078,3.8772918616265315,1.0,103.60814162403446,2.0
5,75000,38.9786073236783,24.486895933935198,183.2211782627004,347.430447632227,24.173753035820365,47.31901992482273,39.559063021030624,3.75363773072923,13.107715389582637,4.698007558599702,0.40246826840746214,4.2089369673394055,56.32698441180702,3.704241808365876,9.899121942063115,101.28375037618491,1.000666656102016
6,90000,97.20559498849188,58.87742885558605,171.61251074446858,421.3212802396166,26.446594410223323,16.40007744703126,51.682400722642626,3.209822965665264,2.262537349073633,4.655072184059294,0.2606202779345996,1.9741402601491889,35.53703483232409,1.4896911263814898,1.9933227457776792,67.25123282452859,1.5918521119702116
7,105000,51.53852726621855,30.014211066197447,111.68390449556942,352.8476868246809,12.54668814606046,20.043404427480453,50.864797150788384,3.941836749838214,11.017667303408501,4.105517542613893,0.3475075359154899,2.6618015143046962,64.36717772894902,3.8907406020989903,2.0,25.235783085503442,0.35225814765734953
8,120000,48.15825815155265,33.213741905474855,143.56783724544354,569.295757709005,25.117847462459157,38.08148643807611,47.814854001110724,5.088680887534216,7.5552032524609745,4.14486946940922,0.5564875495048737,4.628116292749523,34.68988857817499,2.504511374024995,7.471366775359162,84.06410721358174,1.0
9,135000,41.366551258419136,54.04496164158863,233.98683610560886,330.9700119316529,41.12583038116347,35.81701932528245,40.32792594537911,4.782304507836123,3.0098015075843354,2.200739176580967,0.17989106531652452,3.879251248674501,20.199399623014152,1.7395774056261766,2.4955929592354007,78.66869811711986,2.274788089952347
10,150000,74.56676274346921,25.99376027734983,143.60643137975484,165.68277429284805,19.102256827318474,49.71554599969082,77.18561202407138,9.571442352327331,22.81729369563525,3.8504574298170557,0.9482682273170816,2.5581471751115896,14.747728684867518,2.1656709780884102,3.936727451140584,85.9465546676551,2.0
11,165000,49.751169887820105,26.671816145394924,97.3702145996974,373.3388743619485,24.3629969338849,48.77139340056625,54.02967413812637,5.713350629584264,6.21527015589245,2.823412055889889,0.7830119100580933,2.6707455512692473,21.44956955009975,2.642611057152207,1.0,45.69544331352279,0.0
12,180000,75.4436641010471,27.779881136925397,237.29412151343462,927.9118491844646,22.7852886034103,30.59625408631694,46.8944153455338,7.941032241384662,8.20110176742103,2.434762132786295,0.5460814401628563,3.5352547602080096,63.61973457818606,3.2792362606731915,1.0,98.16623852258192,2.0
13,195000,48.451417478964224,45.41825058265949,281.8390069966236,874.4140763267093,19.409512175443982,25.78281386889305,46.776771447160066,7.272363486359001,3.054631857849207,4.756672373820015,0.3194039578810178,2.7665203010885335,133.11968458062597,2.5244660127068084,5.447827712823344,95.54938828137556,1.8851866667124562
14,210000,46.83169151124016,30.711025613353737,118.78660341079673,424.63648135921466,20.049816522080512,24.514170658618472,49.07242094304343,4.345819972665347,4.181829103901676,2.352202323844551,0.41591027872591124,5.09257803275306,8.292333733353573,2.6784538441818073,1.0,99.1958790807983,1.0
15,225000,45.93494440774909,47.66461834524622,228.83433267025964,789.6005520287621,21.825678119767794,31.588961359014466,95.50279738334966,9.87094153305103,5.654371647445855,3.64200378328741,0.3250480984210082,4.938675053115851,18.925638491257658,0.7143068890216129,3.891253626121942,168.52606413479012,1.5836542794312984
16,240000,78.26555140651983,55.30743946785123,79.13877475579086,235.0525045907553,9.94303471746901,31.568340904944247,93.78261149578019,13.503981674136499,17.18139146398043,2.2535584600743204,1.1645008653170212,3.920763526133774,55.74227849200785,5.064943429622163,2.0,48.780259214320466,2.0
17,255000,84.87637183759144,33.77070605097746,149.64973602103555,258.3190402743978,17.055405518846808,53.78242258340853,87.91136373951937,7.369317810597817,12.576685137986704,4.349417560153919,0.5475248388241789,5.395411679067834,48.432455943430995,3.11039786926332,2.0,62.098589291735564,1.818647851514944
18,270000,86.93182839421847,41.25468914148587,174.78001709393124,313.7250593722473,28.461982184909107,43.22928293264609,49.83830461256421,11.2550990161052,5.27688820040246,2.5330364760744133,0.3858844982204536,5.28229380430759,42.609371169933,2.868678848450423,6.88772784466341,90.37283364128137,1.8749352924795906
19,285000,41.674040701563484,41.296144265110556,181.80805623730458,639.5363905926129,25.343950136708752,26.443316064982703,85.317986871018,3.132454104923644,7.005336009340827,2.3657424323066234,0.4613080778071945,4.178883558623898,6.222419657543307,1.0,1.0,83.36786338503622,2.0
20,300000,72.33043564183379,51.10467825411631,178.0544243362689,718.8056017117956,11.762097933067283,48.44811130006346,39.76010194920115,9.047796481774238,3.342122276715145,4.861588515816628,0.2595244270109863,2.6407344979643197,32.75019190879903,1.7182772647326932,1.0,157.47600395889933,2.0
