window_id,time_ms,avg_velocity,avg_velocity_off,avg_ioi,avg_duration,avg_articulation,pitch_range,avg_pitch,avg_pitch_step,num_chords,avg_notes_per_chord,chord_density,avg_polyphony,avg_arpeggiation_speed,avg_arpeggation_distance,num_grace_notes,avg_grace_duration,avg_grace_interval
0,0,49.877,34.827,182.9,165.247,7.153,32,67.395,10.825,3,3.333,0.2,2.247,45.571,3.857,1,76.0,1.0
1,15000,41.307,21.773,196.324,351.053,10.216,32,66.747,12.243,5,3.2,0.333,2.467,179.818,5.818,1,139.0,2.0
2,30000,47.407,28.593,276.585,563.093,21.195,29,67.574,9.698,7,3.286,0.467,2.648,129.75,2.875,0,,
3,45000,42.68,24.0,199.514,391.387,11.62,32,67.2,10.338,9,3.0,0.6,2.56,107.222,3.667,0,,
4,60000,43.462,31.585,222.547,540.431,22.768,34,63.446,9.312,9,3.667,0.6,2.923,110.792,4.083,0,,
5,75000,51.218,38.31,171.105,151.931,4.572,32,66.954,12.221,6,3.5,0.4,2.345,110.667,4.4,0,,
6,90000,49.641,32.989,160.56,264.717,10.729,36,67.163,14.462,5,3.4,0.333,2.761,87.917,2.917,1,125.0,1.0
7,105000,49.342,28.342,187.679,337.456,10.71,29,65.456,9.615,9,3.111,0.6,2.532,184.947,3.737,0,,
8,120000,48.371,26.429,204.812,524.071,17.365,34,66.314,11.58,10,3.2,0.667,2.943,148.0,4.409,0,,
9,135000,50.206,33.937,217.742,605.651,31.542,34,66.143,9.903,9,3.444,0.6,3.175,73.227,2.318,2,66.0,1.0
10,150000,52.393,35.865,166.511,223.719,9.592,32,66.124,11.273,8,3.25,0.533,2.461,114.944,2.278,3,129.667,1.333
11,165000,46.299,31.149,170.058,312.425,18.275,36,66.0,11.233,8,3.5,0.533,2.862,49.6,1.65,0,,
12,180000,41.455,36.727,134.969,270.576,7.411,26,64.697,12.25,4,3.25,0.267,2.545,82.556,6.111,0,,
